pathway	Description	p.Val	FDR	Phenotype
GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	4.11820224428662e-13	1.3262909685819e-09	1
GO_CELL_ACTIVATION	GO_CELL_ACTIVATION	4.86589517924396e-13	1.3262909685819e-09	1
GO_RESPONSE_TO_WOUNDING	GO_RESPONSE_TO_WOUNDING	5.28683617558555e-13	1.3262909685819e-09	1
GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	8.81068231152449e-13	1.56114995886964e-09	1
GO_BIOLOGICAL_ADHESION	GO_BIOLOGICAL_ADHESION	1.03717111272232e-12	1.56114995886964e-09	1
GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1.00251154073416e-11	1.13570909693223e-08	1
GO_REGULATION_OF_CELL_DEATH	GO_REGULATION_OF_CELL_DEATH	1.05633320203636e-11	1.13570909693223e-08	1
GO_REGULATION_OF_PROTEOLYSIS	GO_REGULATION_OF_PROTEOLYSIS	1.21085590966924e-11	1.13911269702133e-08	1
GO_WOUND_HEALING	GO_WOUND_HEALING	2.24106746561987e-11	1.87403041625057e-08	1
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	4.45000385041231e-11	3.27671698465031e-08	1
GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	5.18457979821185e-11	3.27671698465031e-08	1
GO_TUBE_MORPHOGENESIS	GO_TUBE_MORPHOGENESIS	5.39218933458453e-11	3.27671698465031e-08	1
GO_REGULATION_OF_PEPTIDASE_ACTIVITY	GO_REGULATION_OF_PEPTIDASE_ACTIVITY	5.6633559087112e-11	3.27671698465031e-08	1
GO_MYELOID_LEUKOCYTE_ACTIVATION	GO_MYELOID_LEUKOCYTE_ACTIVATION	6.09540762491421e-11	3.27671698465031e-08	1
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	7.06557804528378e-11	3.54503602458705e-08	1
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	9.86226040824368e-11	4.63896073952762e-08	1
GO_LOCOMOTION	GO_LOCOMOTION	1.26197873485469e-10	5.31065632746064e-08	1
GO_CIRCULATORY_SYSTEM_DEVELOPMENT	GO_CIRCULATORY_SYSTEM_DEVELOPMENT	1.27015431695843e-10	5.31065632746064e-08	1
GO_SECRETION	GO_SECRETION	1.38085849611683e-10	5.46965317988172e-08	1
GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	2.21000836119368e-10	8.3162614631718e-08	1
GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	2.36737497647879e-10	8.48422098713302e-08	1
GO_TUBE_DEVELOPMENT	GO_TUBE_DEVELOPMENT	2.60716050901978e-10	8.91885908676494e-08	1
